==============================================================================
DOM-CORE-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: dom/base, dom/html, dom/events, dom/bindings, dom/webidl, dom/ipc, docshell, parser   Since: 2026-03-12T17:49:38Z
Excluded paths: (none)
Authors: 185    Patches: 1779    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Emilio Cobos Álvarez  —  145 patch(es)
    ----------------------------------------------------------------------
      2026-09-03  d2f7c679438a  Bug 2068549 - Use a more reasonable default size for remote browsers. r=layout-reviewers,dshin
      2026-09-03  c77e3d9e3763  Bug 2068440 - Validate fieldset listed elements. r=smaug,dom-core-reviewers
      2026-09-02  ed47cc648822  Bug 2068138 - Don't parse for/form in non-null namespaces as an atom. r=dom-core-reviewers,jjaschke
      2026-09-02  029a20c844ce  Bug 2067844 - Remove Rust color -> nscolor conversion. r=firefox-style-system-reviewers,layout-reviewers,dshin
      2026-09-02  1e063d804924  Bug 2068139 - Make xml:lang work like a regular mapped attribute. r=dom-core-reviewers,hsivonen
      2026-09-01  1a47f03236ed  Bug 2068139 - Rename IsAttributeMapped to IsNoNamespaceAttrMapped. r=dom-core-reviewers,media-playback-reviewers,padenot,smaug
      2026-08-27  b2372c38842c  Bug 2054021 - Also run selectedness algorithm when removing options of a combobox if there's no selected option. r=dom-core-reviewers,jjaschke
      2026-08-26  5778c1065518  Bug 2066502 - Make PresShell::NeedFlush deal with throttled animations explicitly. r=layout-reviewers,jfkthame
      2026-08-22  a2666940ab88  Bug 2065672 - Avoid inflating inline stylesheet text just to turn it into utf-8 again. r=dom-core-reviewers,smaug
      2026-08-21  240636d9a5e2  Bug 2064683 - Collapse all chrome UI flags into CHROME_TOOLBAR. r=firefox-desktop-core-reviewers ,extension-reviewers,desktop-theme-reviewers,urlbar-reviewers,mkennedy,sthompson,dao,mossop,robwu
      2026-08-21  deb01f2848ca  Bug 2064683 - Remove CHROME_SCROLLBARS. r=dom-core-reviewers,sthompson,smaug,firefox-desktop-core-reviewers ,layout-reviewers,mkennedy,mossop,dshin,robwu,dholbert
      2026-08-20  b81beae57333  Bug 2064683 - Throw on BarProp.visible setter. r=vhilla,sthompson
      2026-08-20  e00696042c3b  Bug 2065065 - Remove dom.viewTransitions.enabled. r=webidl,smaug
      2026-08-19  bbb3133f4228  Bug 2062197 - Update hover state on pointer events as well as mouse events. r=smaug
      2026-08-19  20dc96318eda  Bug 2064683 - Remove CHROME_LOCATIONBAR / chromeclass-location. r=urlbar-reviewers,desktop-theme-reviewers,tabbrowser-reviewers,dao,extension-reviewers,mviar,robwu
      2026-08-14  ff53f33899d0  Bug 2062197 - Update hover state on pointer events as well as mouse events. r=smaug
      2026-08-13  cb1652efcbe4  Bug 2059521 - Push the check to nsNativeTheme::IsDarkBackground. r=layout-reviewers,dshin
      2026-08-13  fda7a108cb59  Bug 2059521 - Make ChromeUtils.isDarkBackground() trust an explicit color-scheme. r=layout-reviewers,dshin
      2026-08-12  71e2267c243c  Bug 2060396 - Make chrome flags immutable. r=vhilla
      2026-08-04  c3106d4a0e32  Bug 2059942 - Remove getPersistence as well. r=smaug
      2026-08-04  c7d60f29170c  Bug 2059942 - Disable persistence earlier for popups. r=smaug
      2026-08-04  cc2423df8396  Bug 2060381 - Remove CHROME_STATUSBAR. r=smaug,sthompson,vhilla
      2026-08-03  be778d59e348  Bug 2060383 - Remove unused aModifiers argument to content chrome flags computation. r=smaug
      2026-08-03  ce4834e39d68  Bug 2060381 - Remove CHROME_PRIVATE_LIFETIME. r=smaug
