==============================================================================
GFX-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: gfx, image, dom/canvas, dom/webgpu   Since: 2025-12-06T21:52:34Z
Excluded paths: gfx/angle, gfx/cairo, gfx/skia, gfx/harfbuzz, gfx/ots, gfx/sfntly, gfx/graphite2
Authors: 105    Patches: 1348    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Nicolas Silva  —  229 patch(es)
    ----------------------------------------------------------------------
      2026-06-03  db0e8b6a1255  Bug 2023886 - Port the normal border code path from brush to quad. r=gw
      2026-06-03  ba53dd42de44  Bug 2023886 - Port the normal border code path from brush to quad. r=gw
      2026-06-02  dd3f1bf0f42d  Bug 2043194 - Implement image cutouts using quad shaders. r=gw
      2026-06-02  3249e0f28b90  Bug 2043178 - Fix incorrect segment if rounded rect clip and prim have different clips. r=gw
      2026-06-02  07ca540955ec  Bug 2042674 - Don't fall back to brushes when image properties are missing. r=gw
      2026-06-02  582be4c045cc  Bug 2042633 - Use the quad path for images with a base color. r=gw
      2026-06-02  ea41af8d1592  Bug 2042633 - Undo the windows qualcomm workaround for quad base color. r=gw
      2026-06-02  ad38683f7388  Bug 2043593 - Use UV rects provided by external image instead of the graph. r=gw
      2026-05-28  311b4544aa72  Bug 2038650 - Implement support for TextureRect images with ps_quad_textured. r=gw
      2026-05-28  a80dfadec5d3  Bug 2038650 - Use quad shaders for images when TEXTURE_RECT isn't required. r=gw,media-playback-reviewers,padenot
      2026-05-28  a30f3a563861  Bug 2038650 - Add ps_quad_textured variants for the different sampler types. r=gw
      2026-05-26  05cd902dc0f3  Bug 2038444 - Cleanup transform feedback preparation. r=gfx-reviewers,ahale
      2026-05-26  00fa289fdf52  Bug 2037323 - Update the cache in copyBufferSubData. r=gfx-reviewers,ahale
      2026-05-26  a32cb067287d  Bug 2038302 - Tidy up WebGLBuffer index cache. r=gfx-reviewers,ahale
      2026-05-26  a201fee26941  Bug 2038650 - Fix nearest sampling in the SWGL fast path for quad_textured. r=gw
      2026-05-20  b18b8cce4862  Bug 2038650 - Don't use quads for underlay images. r=gw
      2026-05-20  adce1acd8e37  Bug 2037451 - Use quad shaders for stacking context snapshots with adjusted bounds. r=gw
      2026-05-13  575efdb36a22  Bug 2038549 - Do frustum clipping in the root space of the preserve-3d context. r=gw
      2026-05-13  f1bd3694d33d  Bug 2037368 - Add support for tiled images via quad shaders. r=gw
      2026-05-13  2468e254c0ce  Bug 2037007 - Support non-premultiplied images with ps_quad_textured. r=gw
      2026-05-13  451ff91e60b7  Bug 2037007 - Add support for blend modes in the quad shader infrastructure. r=gw
      2026-05-12  714fb2178a88  Bug 2037368 - Add support for tiled images via quad shaders. r=gw
      2026-05-12  c2ea2b4d35ed  Bug 2037007 - Support non-premultiplied images with ps_quad_textured. r=gw
      2026-05-12  cedf6bc2718f  Bug 2037007 - Add support for blend modes in the quad shader infrastructure. r=gw
      2026-05-11  55edf14c5e44  Bug 2038798 - Fix wrench png. r=gw
      2026-05-11  9355bb7c0f77  Bug 2025264 - Add support for task sub-rects in the render task graph. r=gw
      2026-05-06  c197cac6ed37  Bug 2036815 - Reenable quad shaders for images in simple cases. r=gw
