==============================================================================
LAYOUT-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: layout   Since: 2026-03-12T17:06:31Z
Excluded paths: (none)
Authors: 121    Patches: 1326    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Emilio Cobos Álvarez  —  242 patch(es)
    ----------------------------------------------------------------------
      2026-09-07  d9fdde099e20  Bug 2069375 - Make sure to potentially create a widget-specific vsync timer when attached. r=smaug
      2026-09-03  d2f7c679438a  Bug 2068549 - Use a more reasonable default size for remote browsers. r=layout-reviewers,dshin
      2026-09-02  029a20c844ce  Bug 2067844 - Remove Rust color -> nscolor conversion. r=firefox-style-system-reviewers,layout-reviewers,dshin
      2026-09-02  1e063d804924  Bug 2068139 - Make xml:lang work like a regular mapped attribute. r=dom-core-reviewers,hsivonen
      2026-09-01  1a47f03236ed  Bug 2068139 - Rename IsAttributeMapped to IsNoNamespaceAttrMapped. r=dom-core-reviewers,media-playback-reviewers,padenot,smaug
      2026-09-01  09e5fdd55c6d  Bug 2058181 - Fix repeat auto edge case handling.
      2026-09-01  a70514209e85  Bug 2057436 - Deal with transparency not being available in nsMenuPopupFrame's sizing code. r=layout-reviewers,tnikkel
      2026-08-31  a7bca7e4b37e  Bug 2058181 - More carefully clamp grid tracks. r=dshin
      2026-08-31  80f2e18d380e  Bug 2058181 - More carefully clamp grid tracks. r=dshin,dholbert
      2026-08-27  3d01c39098b8  Bug 2061865 - Remove one space from reftest manifest.
      2026-08-27  e77d78282edb  Bug 2061865 - Fuzz text-layout-09.svg on macOS a bit.
      2026-08-27  e0dce7fb9b9f  Bug 2061865 - Bump the cover a bit more and apply the same for text-layout-10.svg
      2026-08-27  718372440223  Bug 2061865 - Inflate cover rect by a pixel in text-layout-09.svg to prevent antialiasing issues on macOS.
      2026-08-27  5d9017e43fd4  Bug 2061865 - Fix text-layout-{09,10}.svg. r=longsonr
      2026-08-26  95301699ebff  Bug 2048847 - Track whether the selector always matches during bucketing, and skip matching if so. r=firefox-style-system-reviewers,dshin
      2026-08-26  bc1856c354e7  Bug 2064930 - Test fix that was dropped from the revision accidentally.
      2026-08-26  00f168353304  Bug 2064930 - Make image icons work in native menubar. r=mac-reviewers,mkennedy,bradwerth
      2026-08-26  5778c1065518  Bug 2066502 - Make PresShell::NeedFlush deal with throttled animations explicitly. r=layout-reviewers,jfkthame
      2026-08-26  6fad9a2595c6  Bug 2066502 - Avoid un-throttling animations from reflow callbacks. r=layout-reviewers,boris
      2026-08-25  842b8109572e  Bug 2066502 - Avoid un-throttling animations from reflow callbacks. r=layout-reviewers,boris
      2026-08-25  68d8aed86fa7  Bug 2066182 - view-transition-class matching shouldn't assume the view transition is active. r=firefox-style-system-reviewers,view-transitions-reviewers,dshin,boris
      2026-08-25  94c7ff59f3a3  Bug 2065754 - Reduce the size of cssparser errors. r=firefox-style-system-reviewers,dshin,devtools-reviewers,supply-chain-reviewers
      2026-08-25  b548ced3cb9c  Bug 2022289 - Don't wrongly treat a percentage flex gap as definite. r=layout-reviewers,dshin
      2026-08-22  a2666940ab88  Bug 2065672 - Avoid inflating inline stylesheet text just to turn it into utf-8 again. r=dom-core-reviewers,smaug
      2026-08-21  42345bb294f8  Bug 2064471 - Make -moz-appearance a legacy shorthand of appearance. r#style r=dshin
      2026-08-21  6f1a348e95a4  Bug 2065425 - Don't stretch with indefinite block-size in GenerateFlexItemsForChild. r=layout-reviewers,dshin
      2026-08-21  e2ccd3e02a35  Bug 2062332 - Make MruCache 2-way associative. r=layout-reviewers,jfkthame
      2026-08-21  64742f509393  Bug 2062332 - Make MruCache 2-way associative. r=layout-reviewers,jfkthame
      2026-08-21  deb01f2848ca  Bug 2064683 - Remove CHROME_SCROLLBARS. r=dom-core-reviewers,sthompson,smaug,firefox-desktop-core-reviewers ,layout-reviewers,mkennedy,mossop,dshin,robwu,dholbert
      2026-08-21  b9537570d785  Bug 2065136 - SVG text shouldn't allow generated content. r=dshin
      2026-08-20  ed38e447cce8  Bug 1963352 - Unship the :-moz-placeholder pseudo-class. r=firefox-style-system-reviewers,dshin
      2026-08-20  bf01a05dc565  Bug 1978211 - Skip some tests on Android.
      2026-08-20  b34dff9b92e5  Bug 1978211 - Remove two tests.
      2026-08-20  e00696042c3b  Bug 2065065 - Remove dom.viewTransitions.enabled. r=webidl,smaug
      2026-08-19  8b48097b3f88  Bug 2063903 - Support fractional SVG viewports. r=firefox-svg-reviewers,longsonr
      2026-08-18  32a1b84d380b  Bug 2064131 - Cope with null base style in scroll-to-delay phase. r=boris,layout-scroll-driven-animation-reviewers,firefox-style-system-reviewers
      2026-08-18  d3e74196e6b6  Bug 2058496 - Deal with SVG context paint properly in border-image fast path. r=dshin
      2026-08-18  730319772377  Bug 2061292 - Ensure scrolled content is in the same doc. r=layout-reviewers,hiro
      2026-08-17  70e5c5489726  Bug 2015253 - Only return a container frame top level docs during print preview. r=tnikkel,layout-reviewers
      2026-08-16  261e47e10696  Bug 2063502 - Fix crashtest annotation.
      2026-08-16  f80b84aeb4d1  Bug 2063502 - Make stretched cross-size computation earlier so it affects percentages. r=TYLin,layout-reviewers
      2026-08-16  c3707a7d8ca5  Bug 2063502 - Make stretched cross-size computation earlier so it affects percentages. r=TYLin,layout-reviewers
      2026-08-13  c1385efce560  Bug 2055599 - Use align-content in the UA sheet to implement input / button centering. r=Oriol,layout-reviewers,firefox-style-system-reviewers,dholbert
