==============================================================================
MEDIA-PLAYBACK-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: dom/media   Since: 2025-12-03T18:46:16Z
Excluded paths: dom/media/webrtc, dom/media/systemservices
Authors: 63    Patches: 681    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Alastor Wu  —  88 patch(es)
    ----------------------------------------------------------------------
      2026-05-28  87748d67d82d  Bug 2042938 - Move parent-side audio-session state into a dedicated owner. r=padenot
      2026-05-27  7b855a30807e  Bug 2040508 - Part 4: Expose the effective audio-session type via WebIDL and cover with browser tests. r=padenot
      2026-05-27  4401795488ba  Bug 2040508 - Part 3: Compute the effective audio-session type per the spec algorithm. r=padenot
      2026-05-27  4ab45857ed89  Bug 2040508 - Part 2: Implement the per-context audio-session type selection algorithm. r=padenot,webidl,smaug
      2026-05-27  62a24c82e356  Bug 2040508 - Part 1: Plumb audioSession.type setter to the parent process. r=padenot
      2026-05-27  a1a0b77ec18c  Bug 2039396 - Part 5: Add a browser test for active-session stability when an audible iframe appears. r=padenot
      2026-05-27  c352265a1d9d  Bug 2039396 - Part 4: Add gtest coverage for the consolidated audibility store. r=padenot
      2026-05-27  11f6e88ded22  Bug 2039396 - Part 3: Rename intra-tab audio-focus owner to active audible controllable context. r=padenot
      2026-05-27  5dd04ebd797d  Bug 2039396 - Part 2: Track every audible source in a single parent-side store. r=padenot
      2026-05-27  16d03dbb6b4d  Bug 2039396 - Part 1: Tag every audio source with its audio session type. r=padenot
      2026-05-21  1435cd654c71  Bug 2038494 - Part 2: Only mark codecs with a real lack-of-extension mapping when their Media Foundation MFT is missing. r=media-playback-reviewers,padenot,aosmond
      2026-05-21  2faec54decd3  Bug 2038494 - Part 1: Map HEVC's lack-of-extension state and assert the support-helper invariant. r=media-playback-reviewers,aosmond,padenot
      2026-05-20  1bfc0607c0f5  Bug 2034990 - Part 1: Add PDMFactorySupport singleton with pref/gfxVar invalidation. r=media-playback-reviewers,padenot
