==============================================================================
WEBRTC-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: dom/media/webrtc, dom/media/systemservices   Since: 2025-12-06T06:14:13Z
Excluded paths: (none)
Authors: 45    Patches: 362    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Michael Froman  —  82 patch(es)
    ----------------------------------------------------------------------
      2026-06-01  a7679f7d3850  Bug 2042479 - add python script to check for missing branch-head commits. r=dbaker
      2026-06-01  d1fddfc21cc3  Bug 2042479 - add python script to show branch-head commits for libwebrtc. r=dbaker
      2026-04-29  8eb3dbb90545  Bug 2033275 - verify located stream matches CamerasParent. r=pehrsons
      2026-04-23  315fe6636efc  Bug 2034232 - exclude merge commits from verify_vendoring guidance. r=pehrsons DONTBUILD
      2026-04-18  d6d11444c7e2  Bug 2031503 (MOZ) - upstream has converted from webrtc::ArrayView to std::span
      2026-04-13  cffe287fa9a2  Bug 2031503 - updated default_config_env for v148
      2026-04-13  8332a06d47ce  Bug 2030139 (MOZ) - update for upstream removing local_ssrc in upstream d7b28ebba1. r=bwc
      2026-04-08  78bab8dc41c3  Bug 2030139 (MOZ) - add sdk/android/api/org/webrtc/Environment.java to vendoring for upstream 7962f77508
      2026-04-08  cdc331b793f4  Bug 2030139 (MOZ) - move rtc_event_field_encoding_parser.cc to non-unified to fix build
      2026-04-07  1d8b1a126b4f  Bug 2030139 - updated default_config_env for v147
      2026-04-07  9d3b32253c00  Bug 2029247 - upstream is removing EchoCanceller.mobile_mode r=ng
      2026-04-03  e8b30a36f442  Bug 2029247 - updated default_config_env for v146
      2026-03-26  221e30e183c2  Bug 2024604 - make units on expiration defines clear. r=ng
      2026-03-26  6e68b94e1177  Bug 2025929 - improve instructions on resolving issues in revert detection. r=dbaker
      2026-03-24  14a0f8d1c3e1  Bug 2024604 - make units on expiration defines clear. r=ng
      2026-03-23  34e9cab30775  Bug 2025559 - updated default_config_env for v145
      2026-03-05  a0f6f6c16160  Bug 2021176 - remove usage of internal version of strlcat in util.cpp r=dbaker
      2026-03-04  eafb079800d6  Bug 2013730 - move code from addrs-netlink.cc to a separate compile unit in addrs-netlink-wireless.cpp r=bwc
      2026-03-04  b601dc8b0f19  Bug 2013730 - remove all the 'extern C' sections for nrappkit/nICEr includes. r=bwc
      2026-03-04  94729695047f  Bug 2013730 - update nicer.gyp and nrappkit.gyp to build as c++ r=bwc
      2026-03-04  5faf57f3cf34  Bug 2013730 - rename all nrappkit and nicer .c to .cpp r=bwc
      2026-03-02  7a87af29029a  Bug 2018686 - reject setLocalDescription if msection active with stopped transceiver. r=bwc
      2026-02-23  25aec1efe5a3  Bug 2018698 - remove unused nr_win32_get_adapter_friendly_name. r=bwc
      2026-02-17  150ca809c724  Bug 2016995 - don't use TAILQ internals in nr_ice_candidate_pair_trigger_check_append. r=bwc
      2026-02-13  4597e73a96cc  Bug 2015180 - remove unused function nr_ice_media_stream_finalize. r=bwc
      2026-02-05  34b90cd6f8a6  Bug 2014807 - unused function nr_ice_peer_ctx_dump_state. r=bwc
      2026-02-03  d250a930f3bd  Bug 2013368 - fixes to satisfy stringop-truncation warnings. r=bwc
      2026-02-03  3bad44a9866c  Bug 2013368 - don't use 'class' for variable name. r=dbaker
      2026-02-03  d60e495fd968  Bug 2013368 - make sure all vars are initialized before potential ABORT macro usage. r=bwc
